,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hidden_dim,nepoch,reg_coef,subset_size
42,49.19,-3.273684210526318,0.3789473684210526,12.715789473684211,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,64,100,50,1.0,
29,48.970000000000006,-22.978947368421053,1.4105263157894739,22.978947368421053,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,256,100,50,0.1,
4,31.669999999999998,-10.578947368421053,-0.29473684210526285,11.010526315789473,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,32,100,50,10.0,
17,31.639999999999993,-10.842105263157897,-0.22105263157894742,11.305263157894743,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,32,100,50,0.1,
5,31.630000000000003,-10.821052631578949,-0.2421052631578947,11.273684210526318,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,32,100,50,1.0,
10,30.990000000000002,-9.210526315789474,-0.15789473684210525,9.389473684210529,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,32,100,50,100.0,
14,27.840000000000003,-5.126315789473683,-0.4842105263157902,5.747368421052633,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,64,100,50,0.1,
1,27.840000000000003,-5.010526315789473,-0.49473684210526364,5.684210526315789,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,64,100,50,10.0,
16,27.829999999999995,-5.11578947368421,-0.4631578947368429,5.736842105263158,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,64,100,50,1.0,
7,27.569999999999993,-4.663157894736844,-0.5473684210526321,5.2210526315789485,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,64,100,50,100.0,
12,27.22,-2.978947368421052,-0.21052631578947378,3.6947368421052627,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,32,100,50,1000.0,
0,24.990000000000002,-2.1368421052631574,-0.5368421052631582,3.1052631578947367,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,64,100,50,1000.0,
3,21.88,0.37894736842105275,-0.6,0.9789473684210526,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,32,100,50,10000.0,
9,21.590000000000003,-0.2315789473684206,-0.6105263157894735,1.5368421052631578,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,256,100,50,1.0,
15,21.580000000000005,-0.24210526315789443,-0.6105263157894735,1.5473684210526317,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,256,100,50,0.1,
11,21.580000000000005,-0.24210526315789463,-0.6105263157894735,1.5473684210526317,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,256,100,50,10.0,
8,21.580000000000002,-0.17894736842105255,-0.6526315789473681,1.442105263157895,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,256,100,50,100.0,
2,21.24,0.01052631578947374,-0.6947368421052631,1.1894736842105265,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,256,100,50,1000.0,
6,20.839999999999996,0.05263157894736908,-0.8947368421052629,1.263157894736842,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,64,100,50,10000.0,
60,20.0,-3.0842105263157893,0.4105263157894735,4.1157894736842096,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,32,100,50,10000.0,
55,20.0,-3.094736842105263,0.8105263157894737,3.9157894736842107,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,32,100,50,100.0,
56,20.0,-3.1052631578947367,0.6421052631578947,4.400000000000001,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,32,100,50,1000.0,
57,20.0,-2.9894736842105263,0.7157894736842104,3.694736842105263,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,32,100,50,1.0,
58,20.0,-3.1999999999999997,0.46315789473684194,4.621052631578948,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,32,100,50,10.0,
59,20.0,-32.27368421052632,-0.431578947368421,34.705263157894734,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,64,100,50,0.1,
27,20.0,-2.8526315789473684,0.7157894736842104,3.357894736842105,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,64,100,50,10000.0,
53,20.0,-3.0,0.6421052631578947,3.6842105263157894,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,256,100,50,10000.0,
62,20.0,-3.2315789473684213,0.5052631578947367,5.663157894736844,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,64,100,50,10.0,
63,20.0,-2.884210526315789,0.6,5.094736842105262,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,64,100,50,100.0,
64,20.0,-18.642105263157895,1.2736842105263158,21.663157894736845,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,256,100,50,1.0,
66,20.0,-3.0421052631578944,0.6526315789473683,5.494736842105263,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,64,100,50,1000.0,
67,20.0,-3.1473684210526316,0.9052631578947368,3.7578947368421054,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,64,100,50,10000.0,
68,20.0,-3.189473684210526,0.9157894736842105,4.778947368421053,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,256,100,50,10.0,
69,20.0,-3.1578947368421053,0.8105263157894737,4.326315789473685,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,256,100,50,100.0,
70,20.0,-3.2526315789473683,0.6947368421052631,3.789473684210526,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,256,100,50,10000.0,
61,20.0,-3.115789473684211,0.5263157894736841,4.294736842105263,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,64,100,50,1.0,
50,20.0,-3.0,0.6421052631578947,3.663157894736842,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,256,100,50,100.0,
52,20.0,-3.0105263157894737,0.5684210526315788,3.7052631578947373,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,256,100,50,1000.0,
38,20.0,-3.0,0.48421052631578937,4.273684210526316,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,32,100,50,100.0,
30,20.0,-24.400000000000002,0.3052631578947368,25.768421052631577,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,64,100,50,100.0,
31,20.0,-2.8526315789473684,0.7052631578947368,3.3684210526315788,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,64,100,50,1000.0,
22,20.0,-3.021052631578948,0.7052631578947368,3.5578947368421057,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,32,100,50,1000.0,
33,20.0,-2.3157894736842106,0.8210526315789473,3.28421052631579,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,256,100,50,10000.0,
34,20.0,-8.557894736842105,0.5368421052631579,10.105263157894735,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,256,100,50,1000.0,
21,20.0,-3.021052631578948,0.6947368421052631,3.526315789473684,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,32,100,50,100.0,
37,20.0,-3.0,0.48421052631578937,4.2631578947368425,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,32,100,50,10.0,
71,20.0,-3.1578947368421053,0.7578947368421052,4.915789473684211,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,256,100,50,1000.0,
51,20.0,-13.957894736842105,1.031578947368421,15.726315789473688,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,256,100,50,10.0,
40,20.0,-3.0,0.46315789473684194,4.347368421052632,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,32,100,50,10000.0,
41,20.0,-3.0,0.5578947368421051,4.378947368421055,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,32,100,50,1000.0,
44,20.0,-3.0105263157894737,0.5684210526315788,4.136842105263159,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,64,100,50,10.0,
45,20.0,-3.0315789473684207,0.5157894736842104,4.105263157894738,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,64,100,50,1000.0,
46,20.0,-3.0315789473684207,0.5894736842105261,4.031578947368421,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,64,100,50,10000.0,
47,20.0,-3.0421052631578944,0.6,4.126315789473683,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,64,100,50,100.0,
23,20.0,-3.021052631578948,0.7157894736842104,3.5368421052631587,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,32,100,50,10000.0,
13,19.71,0.1368421052631578,-0.8315789473684209,1.221052631578948,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,1e-05,256,100,50,10000.0,
